frame,x,y,time,dt,dx,dy,vx,vy,dvx,dvy,ax,ay,x_m,y_m,vx_m,vy_m,ax_m,ay_m
23,439,9,0.76667,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93653,0.01920,0.00000,0.00000,0.00000,0.00000
24,440,10,0.80000,0.03333,1.00000,1.00000,30.00000,30.00000,30.00000,30.00000,900.00000,900.00000,0.93867,0.02133,0.06400,0.06400,1.92000,1.92000
25,440,10,0.83333,0.03333,0.00000,0.00000,0.00000,0.00000,-30.00000,-30.00000,-900.00000,-900.00000,0.93867,0.02133,0.00000,0.00000,-1.92000,-1.92000
26,440,10,0.86667,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93867,0.02133,0.00000,0.00000,0.00000,0.00000
27,440,10,0.90000,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93867,0.02133,0.00000,0.00000,0.00000,0.00000
28,440,10,0.93333,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93867,0.02133,0.00000,0.00000,0.00000,0.00000
29,439,9,0.96667,0.03333,-1.00000,-1.00000,-30.00000,-30.00000,-30.00000,-30.00000,-900.00000,-900.00000,0.93653,0.01920,-0.06400,-0.06400,-1.92000,-1.92000
30,438,9,1.00000,0.03333,-1.00000,0.00000,-30.00000,0.00000,0.00000,30.00000,0.00000,900.00000,0.93440,0.01920,-0.06400,0.00000,0.00000,1.92000
31,439,10,1.03333,0.03333,1.00000,1.00000,30.00000,30.00000,60.00000,30.00000,1800.00000,900.00000,0.93653,0.02133,0.06400,0.06400,3.84000,1.92000
32,438,9,1.06667,0.03333,-1.00000,-1.00000,-30.00000,-30.00000,-60.00000,-60.00000,-1800.00000,-1800.00000,0.93440,0.01920,-0.06400,-0.06400,-3.84000,-3.84000
33,438,9,1.10000,0.03333,0.00000,0.00000,0.00000,0.00000,30.00000,30.00000,900.00000,900.00000,0.93440,0.01920,0.00000,0.00000,1.92000,1.92000
34,437,8,1.13333,0.03333,-1.00000,-1.00000,-30.00000,-30.00000,-30.00000,-30.00000,-900.00000,-900.00000,0.93227,0.01707,-0.06400,-0.06400,-1.92000,-1.92000
35,438,9,1.16667,0.03333,1.00000,1.00000,30.00000,30.00000,60.00000,60.00000,1800.00000,1800.00000,0.93440,0.01920,0.06400,0.06400,3.84000,3.84000
36,438,9,1.20000,0.03333,0.00000,0.00000,0.00000,0.00000,-30.00000,-30.00000,-900.00000,-900.00000,0.93440,0.01920,0.00000,0.00000,-1.92000,-1.92000
37,843,130,1.23333,0.03333,405.00000,121.00000,12150.00000,3630.00000,12150.00000,3630.00000,364500.00000,108900.00000,1.79840,0.27733,25.92000,7.74400,777.60000,232.32000
38,606,214,1.26667,0.03333,-237.00000,84.00000,-7110.00000,2520.00000,-19260.00000,-1110.00000,-577800.00000,-33300.00000,1.29280,0.45653,-15.16800,5.37600,-1232.64000,-71.04000
39,843,131,1.30000,0.03333,237.00000,-83.00000,7110.00000,-2490.00000,14220.00000,-5010.00000,426600.00000,-150300.00000,1.79840,0.27947,15.16800,-5.31200,910.08000,-320.64000
40,843,131,1.33333,0.03333,0.00000,0.00000,0.00000,0.00000,-7110.00000,2490.00000,-213300.00000,74700.00000,1.79840,0.27947,0.00000,0.00000,-455.04000,159.36000
41,838,140,1.36667,0.03333,-5.00000,9.00000,-150.00000,270.00000,-150.00000,270.00000,-4500.00000,8100.00000,1.78773,0.29867,-0.32000,0.57600,-9.60000,17.28000
42,438,9,1.40000,0.03333,-400.00000,-131.00000,-12000.00000,-3930.00000,-11850.00000,-4200.00000,-355500.00000,-126000.00000,0.93440,0.01920,-25.60000,-8.38400,-758.40000,-268.80000
43,438,9,1.43333,0.03333,0.00000,0.00000,0.00000,0.00000,12000.00000,3930.00000,360000.00000,117900.00000,0.93440,0.01920,0.00000,0.00000,768.00000,251.52000
44,438,9,1.46667,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93440,0.01920,0.00000,0.00000,0.00000,0.00000
45,438,10,1.50000,0.03333,0.00000,1.00000,0.00000,30.00000,0.00000,30.00000,0.00000,900.00000,0.93440,0.02133,0.00000,0.06400,0.00000,1.92000
46,440,10,1.53333,0.03333,2.00000,0.00000,60.00000,0.00000,60.00000,-30.00000,1800.00000,-900.00000,0.93867,0.02133,0.12800,0.00000,3.84000,-1.92000
47,440,10,1.56667,0.03333,0.00000,0.00000,0.00000,0.00000,-60.00000,0.00000,-1800.00000,0.00000,0.93867,0.02133,0.00000,0.00000,-3.84000,0.00000
48,440,10,1.60000,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93867,0.02133,0.00000,0.00000,0.00000,0.00000
49,440,10,1.63333,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93867,0.02133,0.00000,0.00000,0.00000,0.00000
50,439,9,1.66667,0.03333,-1.00000,-1.00000,-30.00000,-30.00000,-30.00000,-30.00000,-900.00000,-900.00000,0.93653,0.01920,-0.06400,-0.06400,-1.92000,-1.92000
51,439,9,1.70000,0.03333,0.00000,0.00000,0.00000,0.00000,30.00000,30.00000,900.00000,900.00000,0.93653,0.01920,0.00000,0.00000,1.92000,1.92000
52,440,10,1.73333,0.03333,1.00000,1.00000,30.00000,30.00000,30.00000,30.00000,900.00000,900.00000,0.93867,0.02133,0.06400,0.06400,1.92000,1.92000
53,432,8,1.76667,0.03333,-8.00000,-2.00000,-240.00000,-60.00000,-270.00000,-90.00000,-8100.00000,-2700.00000,0.92160,0.01707,-0.51200,-0.12800,-17.28000,-5.76000
54,432,8,1.80000,0.03333,0.00000,0.00000,0.00000,0.00000,240.00000,60.00000,7200.00000,1800.00000,0.92160,0.01707,0.00000,0.00000,15.36000,3.84000
55,432,8,1.83333,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.92160,0.01707,0.00000,0.00000,0.00000,0.00000
56,432,8,1.86667,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.92160,0.01707,0.00000,0.00000,0.00000,0.00000
